start	length	score	sampled_reads	valid_reads	unique	exact	ambiguous	no_match	invalid	assignment_rate	exact_rate	ambiguous_rate	no_match_rate	invalid_rate
0	4	0.11283000	100000	100000	11283	11283	0	88717	0	0.11283000	0.11283000	0.00000000	0.88717000	0.00000000
2	4	0.05881000	100000	100000	5881	5881	0	94119	0	0.05881000	0.05881000	0.00000000	0.94119000	0.00000000
8	4	0.04004000	100000	100000	4004	4004	0	95996	0	0.04004000	0.04004000	0.00000000	0.95996000	0.00000000
7	4	0.03757000	100000	100000	3757	3757	0	96243	0	0.03757000	0.03757000	0.00000000	0.96243000	0.00000000
9	4	0.03682000	100000	100000	3682	3682	0	96318	0	0.03682000	0.03682000	0.00000000	0.96318000	0.00000000
11	4	0.03152000	100000	100000	3152	3152	0	96848	0	0.03152000	0.03152000	0.00000000	0.96848000	0.00000000
10	4	0.03127000	100000	100000	3127	3127	0	96873	0	0.03127000	0.03127000	0.00000000	0.96873000	0.00000000
12	4	0.03009000	100000	100000	3009	3009	0	96991	0	0.03009000	0.03009000	0.00000000	0.96991000	0.00000000
6	4	0.02635000	100000	100000	2635	2635	0	97365	0	0.02635000	0.02635000	0.00000000	0.97365000	0.00000000
8	5	0.02526000	100000	100000	2526	2526	0	97474	0	0.02526000	0.02526000	0.00000000	0.97474000	0.00000000
9	5	0.02145000	100000	100000	2145	2145	0	97855	0	0.02145000	0.02145000	0.00000000	0.97855000	0.00000000
7	5	0.02108000	100000	100000	2108	2108	0	97892	0	0.02108000	0.02108000	0.00000000	0.97892000	0.00000000
5	4	0.01957000	100000	100000	1957	1957	0	98043	0	0.01957000	0.01957000	0.00000000	0.98043000	0.00000000
6	5	0.01844000	100000	100000	1844	1844	0	98156	0	0.01844000	0.01844000	0.00000000	0.98156000	0.00000000
3	6	0.01704000	100000	100000	1704	1704	0	98296	0	0.01704000	0.01704000	0.00000000	0.98296000	0.00000000
5	5	0.01529000	100000	100000	1529	1529	0	98471	0	0.01529000	0.01529000	0.00000000	0.98471000	0.00000000
4	6	0.01121000	100000	100000	1121	1121	0	98879	0	0.01121000	0.01121000	0.00000000	0.98879000	0.00000000
11	5	0.01114000	100000	100000	1114	1114	0	98886	0	0.01114000	0.01114000	0.00000000	0.98886000	0.00000000
10	5	0.01100000	100000	100000	1100	1100	0	98900	0	0.01100000	0.01100000	0.00000000	0.98900000	0.00000000
6	6	0.01098000	100000	100000	1098	1098	0	98902	0	0.01098000	0.01098000	0.00000000	0.98902000	0.00000000
3	4	0.01084000	100000	100000	1084	1084	0	98916	0	0.01084000	0.01084000	0.00000000	0.98916000	0.00000000
12	5	0.01047000	100000	100000	1047	1047	0	98953	0	0.01047000	0.01047000	0.00000000	0.98953000	0.00000000
7	6	0.00936000	100000	100000	936	936	0	99064	0	0.00936000	0.00936000	0.00000000	0.99064000	0.00000000
1	5	0.00474000	100000	100000	474	474	0	99526	0	0.00474000	0.00474000	0.00000000	0.99526000	0.00000000
11	6	0.00244000	100000	100000	244	244	0	99756	0	0.00244000	0.00244000	0.00000000	0.99756000	0.00000000
10	6	0.00233000	100000	100000	233	233	0	99767	0	0.00233000	0.00233000	0.00000000	0.99767000	0.00000000
12	6	0.00233000	100000	100000	233	233	0	99767	0	0.00233000	0.00233000	0.00000000	0.99767000	0.00000000
9	6	0.00218000	100000	100000	218	218	0	99782	0	0.00218000	0.00218000	0.00000000	0.99782000	0.00000000
8	6	0.00202000	100000	100000	202	202	0	99798	0	0.00202000	0.00202000	0.00000000	0.99798000	0.00000000
1	4	0.00172000	100000	100000	172	172	0	99828	0	0.00172000	0.00172000	0.00000000	0.99828000	0.00000000
11	7	0.00067000	100000	100000	67	67	0	99933	0	0.00067000	0.00067000	0.00000000	0.99933000	0.00000000
12	7	0.00062000	100000	100000	62	62	0	99938	0	0.00062000	0.00062000	0.00000000	0.99938000	0.00000000
10	7	0.00051000	100000	100000	51	51	0	99949	0	0.00051000	0.00051000	0.00000000	0.99949000	0.00000000
8	7	0.00030000	100000	100000	30	30	0	99970	0	0.00030000	0.00030000	0.00000000	0.99970000	0.00000000
9	7	0.00030000	100000	100000	30	30	0	99970	0	0.00030000	0.00030000	0.00000000	0.99970000	0.00000000
5	6	0.00022000	100000	100000	22	22	0	99978	0	0.00022000	0.00022000	0.00000000	0.99978000	0.00000000
4	5	0.00016000	100000	100000	16	16	0	99984	0	0.00016000	0.00016000	0.00000000	0.99984000	0.00000000
12	8	0.00012000	100000	100000	12	12	0	99988	0	0.00012000	0.00012000	0.00000000	0.99988000	0.00000000
4	4	0.00010000	100000	100000	10	10	0	99990	0	0.00010000	0.00010000	0.00000000	0.99990000	0.00000000
7	8	0.00010000	100000	100000	10	10	0	99990	0	0.00010000	0.00010000	0.00000000	0.99990000	0.00000000
10	8	0.00010000	100000	100000	10	10	0	99990	0	0.00010000	0.00010000	0.00000000	0.99990000	0.00000000
9	8	0.00008000	100000	100000	8	8	0	99992	0	0.00008000	0.00008000	0.00000000	0.99992000	0.00000000
8	8	0.00007000	100000	100000	7	7	0	99993	0	0.00007000	0.00007000	0.00000000	0.99993000	0.00000000
1	6	0.00006000	100000	100000	6	6	0	99994	0	0.00006000	0.00006000	0.00000000	0.99994000	0.00000000
1	8	0.00005000	100000	100000	5	5	0	99995	0	0.00005000	0.00005000	0.00000000	0.99995000	0.00000000
5	8	0.00005000	100000	100000	5	5	0	99995	0	0.00005000	0.00005000	0.00000000	0.99995000	0.00000000
3	5	0.00004000	100000	100000	4	4	0	99996	0	0.00004000	0.00004000	0.00000000	0.99996000	0.00000000
6	8	0.00004000	100000	100000	4	4	0	99996	0	0.00004000	0.00004000	0.00000000	0.99996000	0.00000000
2	5	0.00003000	100000	100000	3	3	0	99997	0	0.00003000	0.00003000	0.00000000	0.99997000	0.00000000
7	7	0.00003000	100000	100000	3	3	0	99997	0	0.00003000	0.00003000	0.00000000	0.99997000	0.00000000
11	8	0.00003000	100000	100000	3	3	0	99997	0	0.00003000	0.00003000	0.00000000	0.99997000	0.00000000
5	7	0.00002000	100000	100000	2	2	0	99998	0	0.00002000	0.00002000	0.00000000	0.99998000	0.00000000
1	7	0.00001000	100000	100000	1	1	0	99999	0	0.00001000	0.00001000	0.00000000	0.99999000	0.00000000
0	5	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
0	6	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
0	7	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
0	8	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
2	6	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
2	7	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
2	8	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
3	7	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
3	8	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
4	7	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
4	8	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
6	7	0.00000000	100000	100000	0	0	0	100000	0	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000
